Thumbnail URL,Inventory number,Letter,Number,Painting title,Artist's name,Artist dates,Date made,Location,url,Pixel dimensions W x H,File format,Last updated,Notes
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0714-00-000002-web-PYR.tif/full/!500,500/0/default.jpg",L714,L,714,Memorial Service for Kaiser Friedrich at Kösen,Max Liebermann,1847 - 1935,1888-9,Room 44,https://www.nationalgallery.org.uk/paintings/max-liebermann-memorial-service-for-kaiser-friedrich-at-kosen,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0715-00-000002-web-PYR.tif/full/!500,500/0/default.jpg",L715,L,715,Watering Horses,Anton Mauve,1838 - 1888,1871,Not on display,https://www.nationalgallery.org.uk/paintings/anton-mauve-watering-horses,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0716-00-000003-web-PYR.tif/full/!500,500/0/default.jpg",L716,L,716,Milking Time,Anton Mauve,1838 - 1888,about 1875,Not on display,https://www.nationalgallery.org.uk/paintings/anton-mauve-milking-time,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0717-00-000012-web-PYR.tif/full/!500,500/0/default.jpg",L717,L,717,Poplars on the Epte,Claude Monet,1840 - 1926,1891,Room 46,https://www.nationalgallery.org.uk/paintings/claude-monet-poplars-on-the-epte,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0718-00-000003-web-PYR.tif/full/!500,500/0/default.jpg",L718,L,718,Woman Seated on a Bench,Claude Monet,1840 - 1926,1874,Not on display,https://www.nationalgallery.org.uk/paintings/claude-monet-woman-seated-on-a-bench,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0719-00-000003-web-PYR.tif/full/!500,500/0/default.jpg",L719,L,719,The Seine at Port-Villez,Claude Monet,1840 - 1926,1894,Not on display,https://www.nationalgallery.org.uk/paintings/claude-monet-the-seine-at-port-villez,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0720-00-000002-web-g-PYR.tif/full/!500,500/0/default.jpg",L720,L,720,Girl on a Divan,Berthe Morisot,1841 - 1895,about 1885,Room 41,https://www.nationalgallery.org.uk/paintings/berthe-morisot-girl-on-a-divan,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0721-00-000004-web-g-PYR.tif/full/!500,500/0/default.jpg",L721,L,721,A Wool-Carder,Camille Pissarro,1830 - 1903,1880,Not on display,https://www.nationalgallery.org.uk/paintings/camille-pissarro-a-wool-carder,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0722-00-000003-web-PYR.tif/full/!500,500/0/default.jpg",L722,L,722,Portrait of Félix Pissarro,Camille Pissarro,1830 - 1903,1881,Not on display,https://www.nationalgallery.org.uk/paintings/camille-pissarro-portrait-of-felix-pissarro,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0723-00-000005-web-PYR.tif/full/!500,500/0/default.jpg",L723,L,723,The Little Country Maid,Camille Pissarro,1830 - 1903,1882,Not on display,https://www.nationalgallery.org.uk/paintings/camille-pissarro-the-little-country-maid,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0725-00-000003-web-PYR.tif/full/!500,500/0/default.jpg",L725,L,725,Head of a Girl,Pierre-Auguste Renoir,1841 - 1919,1898,Not on display,https://www.nationalgallery.org.uk/paintings/pierre-auguste-renoir-head-of-a-girl,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0726-00-000003-web-PYR.tif/full/!500,500/0/default.jpg",L726,L,726,Study of an Old Man,Ilya Repin,1844 - 1930,1878,Not on display,https://www.nationalgallery.org.uk/paintings/ilya-repin-study-of-an-old-man,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0727-00-000003-web-PYR.tif/full/!500,500/0/default.jpg",L727,L,727,Clothes on the Grass: Study for 'Bathers at Asnières',Georges Seurat,1859 - 1891,1883,Room 44,https://www.nationalgallery.org.uk/paintings/georges-seurat-clothes-on-the-grass-study-for-bathers-at-asnieres,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0728-00-000007-web-PYR.tif/full/!500,500/0/default.jpg",L728,L,728,"Le Bec du Hoc, Grandcamp",Georges Seurat,1859 - 1891,1885,Not on display,https://www.nationalgallery.org.uk/paintings/georges-seurat-le-bec-du-hoc-grandcamp,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0729-00-000003-web-PYR.tif/full/!500,500/0/default.jpg",L729,L,729,The Bridge at Sèvres,Alfred Sisley,1839 - 1899,about 1877,Not on display,https://www.nationalgallery.org.uk/paintings/alfred-sisley-the-bridge-at-sevres,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0730-00-000004-web-PYR.tif/full/!500,500/0/default.jpg",L730,L,730,The Path to the Old Ferry at By,Alfred Sisley,1839 - 1899,1880,Not on display,https://www.nationalgallery.org.uk/paintings/alfred-sisley-the-path-to-the-old-ferry-at-by,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0731-00-000006-web-PYR.tif/full/!500,500/0/default.jpg",L731,L,731,The Two Friends,Henri de Toulouse-Lautrec,1864 - 1901,1894,Not on display,https://www.nationalgallery.org.uk/paintings/henri-de-toulouse-lautrec-the-two-friends,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0732-00-000002-web-PYR.tif/full/!500,500/0/default.jpg",L732,L,732,Emile Bernard,Henri de Toulouse-Lautrec,1864 - 1901,1886,Not on display,https://www.nationalgallery.org.uk/paintings/henri-de-toulouse-lautrec-emile-bernard,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0734-00-000003-web-PYR.tif/full/!500,500/0/default.jpg",L734,L,734,View of the Harbour at Marseilles,Antoine Vollon,1833 - 1900,about 1882,Not on display,https://www.nationalgallery.org.uk/paintings/antoine-vollon-view-of-the-harbour-at-marseilles,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0772-00-000003-web-PYR.tif/full/!500,500/0/default.jpg",L772,L,772,Water-lilies,Claude Monet,1840 - 1926,1917,Room 46,https://www.nationalgallery.org.uk/paintings/claude-monet-water-lilies-1,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0791-00-000004-web-PYR.tif/full/!500,500/0/default.jpg",L791,L,791,View of the Gorge at Civita Castellana,Probably by Edouard Bertin,1797 - 1871,1826-7,Room 39,https://www.nationalgallery.org.uk/paintings/probably-by-edouard-bertin-view-of-the-gorge-at-civita-castellana,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0792-00-000004-web-PYR.tif/full/!500,500/0/default.jpg",L792,L,792,"Excavation of the Roman Theatre, Orange, France",French(?),N/A,mid-1850s,Room 39,https://www.nationalgallery.org.uk/paintings/french-excavation-of-the-roman-theatre-orange-france,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0793-00-000006-web-PYR.tif/full/!500,500/0/default.jpg",L793,L,793,A Rustic House by the Sea,German,N/A,1843,The Ashmolean Museum of Art and Archaeology,https://www.nationalgallery.org.uk/paintings/german-a-rustic-house-by-the-sea,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0796-00-000003-web-PYR.tif/full/!500,500/0/default.jpg",L796,L,796,View of Madrid,Probably by Carlos de Haes,1826 - 1898,about 1855-65,The Ashmolean Museum of Art and Archaeology,https://www.nationalgallery.org.uk/paintings/probably-by-carlos-de-haes-view-of-madrid,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0799-00-000006-web-PYR.tif/full/!500,500/0/default.jpg",L799,L,799,The Capuchin Convent at Amalfi,Carl Blechen,1798 - 1840,about 1829,Room 39,https://www.nationalgallery.org.uk/paintings/carl-blechen-the-capuchin-convent-at-amalfi,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0800-00-000005-web-PYR.tif/full/!500,500/0/default.jpg",L800,L,800,Buildings by a Weir in a Mountainous Valley,Probably by Jean Joseph Xavier Bidauld,1758 - 1846,around 1800,Room 39,https://www.nationalgallery.org.uk/paintings/probably-by-jean-joseph-xavier-bidauld-buildings-by-a-weir-in-a-mountainous-valley,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0801-00-000006-web-PYR.tif/full/!500,500/0/default.jpg",L801,L,801,A Cliff Face,Arnold Böcklin,1827 - 1901,about 1850-5,Room 39,https://www.nationalgallery.org.uk/paintings/arnold-bocklin-a-cliff-face,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0802-00-000003-web-PYR.tif/full/!500,500/0/default.jpg",L802,L,802,In the Garden,Giovanni Boldini,1842 - 1931,about 1875,The Ashmolean Museum of Art and Archaeology,https://www.nationalgallery.org.uk/paintings/giovanni-boldini-in-the-garden,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0803-00-000004-web-PYR.tif/full/!500,500/0/default.jpg",L803,L,803,Distant View of Rome with the Baths of Caracalla,Heinrich Bürkel,1802 - 1869,about 1829,The Ashmolean Museum of Art and Archaeology,https://www.nationalgallery.org.uk/paintings/heinrich-burkel-distant-view-of-rome-with-the-baths-of-caracalla,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0804-00-000003-web-PYR.tif/full/!500,500/0/default.jpg",L804,L,804,A Road in the Roman Campagna,Eugène-Ferdinand Buttura,1812 - 1852,about 1840,The Ashmolean Museum of Art and Archaeology,https://www.nationalgallery.org.uk/paintings/eugene-ferdinand-buttura-a-road-in-the-roman-campagna,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0805-00-000003-web-PYR.tif/full/!500,500/0/default.jpg",L805,L,805,Ariccia,Giovanni-Battista Camuccini,1819 - 1904,about 1850,The Ashmolean Museum of Art and Archaeology,https://www.nationalgallery.org.uk/paintings/giovanni-battista-camuccini-ariccia,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0806-00-000003-web-PYR.tif/full/!500,500/0/default.jpg",L806,L,806,A Fallen Tree Trunk,Giovanni-Battista Camuccini,1819 - 1904,about 1850,Not on display,https://www.nationalgallery.org.uk/paintings/giovanni-battista-camuccini-a-fallen-tree-trunk,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0807-00-000004-web-PYR.tif/full/!500,500/0/default.jpg",L807,L,807,Landscape with Trees and Rocks,Giovanni-Battista Camuccini,1819 - 1904,about 1840-1902,Not on display,https://www.nationalgallery.org.uk/paintings/giovanni-battista-camuccini-landscape-with-trees-and-rocks,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0808-00-000006-web-PYR.tif/full/!500,500/0/default.jpg",L808,L,808,Sky Study with Birds,Jean-Michel Cels,1819 - 1894,1842,Room 39,https://www.nationalgallery.org.uk/paintings/jean-michel-cels-sky-study-with-birds,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0809-00-000004-web-PYR.tif/full/!500,500/0/default.jpg",L809,L,809,The Cascade at Tivoli,Gilles-François-Joseph Closson,1798 - 1842,about 1824-29,Room 39,https://www.nationalgallery.org.uk/paintings/gilles-francois-joseph-closson-the-cascade-at-tivoli,N/A,N/A,,
